V1            | V2                      | V3
INFINITIVE    | PAST SIMPLE             | PAST PARTICIPLE          | ПЕРЕКЛАД

[A]
abide         | abode / abided          | abode / abided           | терпіти; дотримуватися чогось, бути вірним
arise         | arose                   | arisen                   | виникати, підніматися
awake         | awaked / awoke          | awaked / awoken          | будити, викликати, прокидатися, розуміти
[B]
backslide     | backslid                | backslidden / backslid   | відступатися від віри, знову вдаватися до пороку
be            | was, were               | been                     | бути, існувати
bear          | bore / beared           | born / borne / beared    | нести, виносити, тримати, мати почуття
beat          | beat                    | beaten / beat            | бити, перемагати
become        | became                  | become                   | ставати, робитись
befall        | befell                  | befallen                 | траплятися, видаватися, випадати на долю
begin         | began                   | begun                    | починати
behold        | beheld                  | beheld                   | побачити, помітити, споглядати, спостерігати
bend          | bent                    | bent                     | гнути, згинати
bereave       | bereft / bereaved       | bereft / bereaved        | позбавляти, віднімати, відбирати
beseech       | besought / beseeched    | besought / beseeched     | просити, благати
beset         | beset                   | beset                    | оточувати, осаджувати, перегороджувати
bet           | bet / betted            | bet / betted             | битися об заклад, бути впевненим
bid           | bid / bade              | bidden                   | запрошувати, вітати, прощатися
bid           | bid                     | bid                      | пропонувати ціну, брати участь, просити
bide          | bode / bided            | bided                    | вичікувати, терпіти, проживати, знаходитися
bind          | bound                   | bound                    | зв'язувати, пов'язувати, скріплювати
bite          | bit                     | bitten                   | кусати, клювати, жалити
bleed         | bled                    | bled                     | кровоточити, спливати кров'ю
bless         | blessed / blest         | blessed / blest          | благословляти, освячувати, перехрестити
blow          | blew                    | blown                    | дути, видувати, віяти, вибухати
break         | broke                   | broken                   | ламати, переривати, розбивати
breed         | bred                    | bred                     | розводити, виховувати, розмножуватися, плодитися
bring         | brought                 | brought                  | приносити, приводити, доводити
broadcast     | broadcast / broadcasted | broadcast / broadcasted  | віщати, поширювати, передавати по радіо / телебаченню
build         | built                   | built                    | будувати, споруджувати
burn          | burned / burnt          | burned / burnt           | горіти, спалювати
burst         | burst                   | burst                    | вибухати, розриватися, виникати, бути переповненим
bust          | busted / bust           | busted / bust            | зламати, руйнувати, розоритися, бити
buy           | bought                  | bought                   | купувати
[C]
cast          | cast                    | cast                     | кидати, відкидати, звільнити, відливати метал
catch         | caught                  | caught                   | зловити, ловити, наздогнати
chide         | chided / chid           | chided / chid / chidden  | сварити, дорікати, бурчати, ревіти
choose        | chose                   | chosen                   | вибирати
cleave        | klɛft / kləʊv           | klɛft / ˈkləʊvn          | розколювати, розсікати
cling         | clung                   | clung                    | чіплятися, триматися, липнути
clothe        | clothed / clad          | clothed / clad           | одягнути, одягати, висловлювати, обдаровувати
come          | came                    | come                     | приходити
cost          | cost                    | cost                     | оцінювати, коштувати
creep         | crept                   | crept                    | повзати, крастися, охоплювати, наводити жах
crossbreed    | crossbred               | crossbred                | схрещувати
cut           | cut                     | cut                      | різати, обрізати
[D]
dare          | durst                   | dared                    | сміти, кидати виклик, ризикувати
daydream      | daydreamed / daydreamt  | daydreamed / daydreamt   | марити, мріяти, фантазувати
deal          | dealt                   | dealt                    | мати справу, торгувати, розглядати питання
dig           | dug                     | dug                      | копати, рити, шукати
disprove      | disproved               | disproved / disproven    | спростовувати, доводити хибність
dive          | dove / dived            | dived                    | пірнати, стрибати вниз, занурюватися
do            | did                     | done                     | робити, виконувати
draw          | drew                    | drawn                    | креслити, малювати, уявляти; тягти, волочити
dream         | dreamed / dreamt        | dreamed / dreamt         | бачити сни, мріяти
drink         | drank                   | drunk                    | пити, випивати
drive         | drove                   | driven                   | водити (машину), управляти, їздити
dwell         | dwelt / dwelled         | dwelt / dwelled          | жити, мешкати, перебувати, зупинятися (десь)
[E]
eat           | ate                     | eaten                    | їсти, харчуватися, роз'їдати
[F]
fall          | fell                    | fallen                   | падати, опадати, опускатися
feed          | fed                     | fed                      | годувати
feel          | felt                    | felt                     | відчувати
fight         | fought                  | fought                   | боротися, битися
find          | found                   | found                    | знаходити, натрапити, виявляти
fit           | fitted / fit            | fitted / fit             | підганяти, прилаштовувати, пристосовувати, оснащувати
flee          | fled                    | fled                     | бігти, тікати, рятуватися втечею
fling         | flung                   | flung                    | кидати, кидати
fly           | flew                    | flown                    | літати, пролітати
forbear       | forbore                 | forborne                 | утримуватися, терпіти, переносити
forbid        | forbade                 | forbidden                | забороняти
forecast      | forecast                | forecast                 | прогнозувати, передбачати
forego        | forewent                | foregone                 | передувати, йти попереду
foresee       | foresaw                 | foreseen                 | передбачати, знати заздалегідь
foretell      | foretold                | foretold                 | передбачати, прогнозувати
forget        | forgot                  | forgotten / forgot       | забувати
forgive       | forgave                 | forgiven                 | прощати, забути (борг)
forgo         | forwent                 | forgone                  | відмовлятися, утримуватися
forsake       | forsook                 | forsaken                 | кидати, залишати, відмовлятися
forswear      | forswore                | forsworn                 | зрікатися, відмовлятися, відкидати
freeze        | froze                   | frozen                   | замерзати, заморожувати
frostbite     | frostbit                | frostbitten              | обморозити, відморозити
[G]
get           | got                     | gotten / got             | отримувати, ставати
gild          | gilded / gilt           | gilded / gilt            | золотити, покривати позолотою, прикрашати
give          | gave                    | given                    | давати
go            | went                    | gone                     | йти, їхати
grind         | ground                  | ground                   | молоти, розтерти, шліфувати, точити
grow          | grew                    | grown                    | рости, вирощувати
[H]
hand-feed     | hand-fed                | hand-fed                 | годувати, давати з рук
handwrite     | handwrote               | handwritten              | писати від руки
hang          | hung                    | hung                     | висіти, вішати
have          | had                     | had                      | мати, володіти
hear          | heard                   | heard                    | чути, слухати
heave         | heaved / hove           | heaved / hove            | піднімати, кидати, рухати, випускати, здійматися
hew           | hewed                   | hewn / hewed             | рубати, тесати, відбувати, узгоджуватися, дотримуватися
hide          | hid                     | hidden                   | ховати, ховатися
hit           | hit                     | hit                      | ударяти, вражати, попадати, натрапити, досягати
hold          | held                    | held                     | займати, тримати, утримувати
hurt          | hurt                    | hurt                     | пошкодити, заподіювати біль, кривдити, поранити
[I]
inbreed       | inbred                  | inbred                   | вирощувати, виховувати щось в когось
inlay         | inlaid                  | inlaid                   | інкрустувати, робити вставку
input         | input / inputted        | input / inputted         | ввести, вводити (дані), вкладати (гроші)
interbreed    | interbred               | interbred                | схрещувати, схрещуватися
interweave    | interwove / interweaved | interwoven / interweaved | заткати, вплітати, переплітати, змішувати
interwind     | interwound              | interwound               | переплітати, перемотувати
[J]
jerry-build   | jerry-built             | jerry-built              | будувати халтурно, нашвидкуруч
[K]
keep          | kept                    | kept                     | тримати, зберігати, залишати, утримувати
kneel         | knelt / kneeled         | knelt / kneeled          | ставати на коліна, схиляти коліна
knit          | knitted / knit          | knitted / knit           | в'язати, штопати
know          | knew                    | known                    | знати, вміти, бути знайомим
[L]
lay           | laid                    | laid                     | класти, валити, накривати
lead          | led                     | led                      | вести, очолювати, супроводжувати
lean          | leaned / leant          | leaned / leant           | спиратися, нахилятися, притулятися
leap          | leaped / leapt          | leaped / leapt           | стрибати, скакати
learn         | learned / learnt        | learned / learnt         | вчитися, дізнаватися
leave         | left                    | left                     | залишати, кидати, лишити, піти їхати
lend          | lent                    | lent                     | позичати, давати на час
let           | let                     | let                      | дозволяти, допускати, випускати, проливати
lie           | lay                     | lain                     | лежати, розташуватися, перебувати, знаходитися
light         | lit / lighted           | lit / lighted            | світити, запалювати, світитися, опромінювати, натрапити, обрушитися
lip-read      | lip-read                | lip-read                 | читати з губ, розуміти по губах
lose          | lost                    | lost                     | втрачати, губити, позбавлятися, пропадати
[M]
make          | made                    | made                     | робити, виробляти, здійснювати
mean          | meant                   | meant                    | означати, мати на увазі
meet          | met                     | met                      | зустрічати, знайомитися
miscast       | miscast                 | miscast                  | неправильно розподіляти ролі
misdeal       | misdealt                | misdealt                 | чинити, поводитися неправильно, помилятися при здачі (карт)
misdo         | misdid                  | misdone                  | робити неправильно, недбало, помилятися
mishear       | misheard                | misheard                 | недочути, погано почути
mislay        | mislaid                 | mislaid                  | покласти не на місце, загубити
mislead       | misled                  | misled                   | вводити в оману, обманювати, збивати зі шляху
mislearn      | mislearned / mislearnt  | mislearned / mislearnt   | навчатися, вчити неправильно
misread       | misread                 | misread                  | прочитати неправильно, неправильно тлумачити
missay        | missaid                 | missaid                  | обмовитися, сказати неправильно
misset        | misset                  | misset                   | неправильно встановити
misspeak      | misspoke                | misspoken                | говорити, вимовляти неправильно
misspell      | misspelled / misspelt   | misspelled / misspelt    | писати з помилками, робити орфографічні помилки
misspend      | misspent                | misspent                 | нерозумно, марно витрачати, розтринькати
misswear      | misswore                | missworn                 | давати неправдиву клятву
mistake       | mistook                 | mistaken                 | помилятися, помилитися у виборі
misteach      | mistaught               | mistaught                | неправильно навчати
misunderstand | misunderstood           | misunderstood            | не розуміти, зрозуміти неправильно
miswrite      | miswrote                | miswritten               | неправильно написати
mow           | mowed                   | mowed / mown             | косити, стригти (газон), жати
[O]
offset        | offset                  | offset                   | відшкодовувати, компенсувати, відгалужуватися, відступати
outbid        | outbid                  | outbid                   | перебивати ціну, перевершити, затьмарити
outdo         | outdid                  | outdone                  | перевершити, вражати, побороти
outdraw       | outdrew                 | outdrawn                 | домогтися більшої популярності, перевершити конкурентів
outdrink      | outdrank                | outdrunk                 | перепити (когось), випити більше, ніж хтось інший
outdrive      | outdrove                | outdriven                | обігнати, випередити
outfight      | outfought               | outfought                | мати перевагу над супротивником, перемагати
outfly        | outflew                 | outflown                 | вилітати, літати швидше, далі (ніж будь-хто)
outgrow       | outgrew                 | outgrown                 | випереджати в рості, переростати, позбавлятися з віком
outleap       | outleaped / outleapt    | outleaped / outleapt     | перестрибувати, вистрибувати, стрибати краще
outlie        | outlay                  | outlain                  | знаходитися назовні, поза чимось, жити в наметі
outrun        | outran                  | outrun                   | випереджати, обігнати, втекти (від когось)
outsell       | outsold                 | outsold                  | продавати, продаватися краще, перевершувати в ціні
outshine      | outshined / outshone    | outshined / outshone     | затьмарити
outshoot      | outshot                 | outshot                  | вистрілити, стріляти краще, відкидати, викидати
outsing       | outsang                 | outsung                  | перевершити в співі, співати краще
outsit        | outsat                  | outsat                   | пересидіти, засидітися
outsleep      | outslept                | outslept                 | проспати, прогавити
outsmell      | outsmelled / outsmelt   | outsmelled / outsmelt    | пахнути сильніше, ніж щось
outspeak      | outspoke                | outspoken                | говорити краще, висловитися, заявити
outspeed      | outsped / outspeeded    | outsped / outspeeded     | переганяти, бути швидшим, діяти швидше
outspend      | outspent                | outspent                 | перевершити за видатками, витрачати більше
outstand      | outstood                | outstood                 | виділятися, кидатися в очі, витримати
outswear      | outswore                | outsworn                 | перевершувати в лихослів'ї
outswim       | outswam                 | outswum                  | перевершувати в плаванні, плавати краще
outthink      | outthought              | outthought               | перевершувати у кмітливості, перехитрити, виявитися розумнішим
outthrow      | outthrew                | outthrown                | викидати, виділяти; кидати краще, точніше
outwear       | outwore                 | worn                     | зношувати, вичерпувати, служити довше, ніж (що-небудь)
outwrite      | outwrote                | outwritten               | писати краще
overbid       | overbid                 | overbid                  | перебивати ціну; перевершити
overbreed     | overbred                | overbred                 | розводити, вирощувати тварин в надмірній кількості
overbuild     | overbuilt               | overbuilt                | надбудовувати, надмірно забудовувати, будувати занадто багато / вишукано
overbuy       | overbought              | overbought               | купувати занадто багато, занадто дорого
overcome      | overcame                | overcome                 | подолати, побороти
overdo        | overdid                 | overdone                 | перестаратися, переборщити, перебільшувати, перевтомлюватися
overdraw      | overdrew                | overdrawn                | перевищити кредит, перебільшувати
overdrink     | overdrank               | overdrunk                | перепитися, занадто багато пити
overeat       | overate                 | overeaten                | переїсти, з'їсти занадто багато
overfeed      | overfed                 | overfed                  | перегодовувати, об'їдатися
overfly       | overflew                | overflown                | перелітати, пролітати над чимось, вилітати за межі
overhang      | overhung                | overhung                 | виступати, нависати, погрожувати, завішувати прикрасами
overhear      | overheard               | overheard                | підслуховувати, ненавмисно почути
overlay       | overlaid                | overlaid                 | покривати, перекривати, навантажувати
overlie       | overlay                 | overlain                 | лежати над чимось / на чомусь, перекривати
overpay       | overpaid                | overpaid                 | переплачувати, відшкодовувати з надлишком
override      | overrode                | overridden               | переїхати, задавити; зневажати, відкидати, скасовувати
overrun       | overran                 | overrun                  | заповнювати, охоплювати, переходити межі, захоплювати, грабувати
oversee       | oversaw                 | overseen                 | спостерігати, наглядати, стежити, підглянути
oversell      | oversold                | oversold                 | нав'язувати продукцію, розпродати, продати повністю / більше своїх запасів
overset       | overset                 | overset                  | порушувати порядок, засмучувати, перекидатися
oversew       | oversewed               | oversewn / oversewed     | зшивати через край
overshoot     | overshot                | overshot                 | промахнутися, перейти кордони, стріляти до знемоги
oversleep     | overslept               | overslept                | проспати, заспатися
overspeak     | overspoke               | overspoken               | забагато розмовляти
overspend     | overspent               | overspent                | витрачати занадто багато, смітити грошима, розладнувати своє здоров'я
overspill     | overspilled / overspilt | overspilled / overspilt  | проливати, переповнювати, перенаселяти
overtake      | overtook                | overtaken                | наздогнати, наздоганяти, опановувати, обігнати
overthink     | overthought             | overthought              | надумати зайвого, занадто багато думати
overthrow     | overthrew               | overthrown               | кидати занадто далеко, скидати, руйнувати
overwind      | overwound               | overwound                | перекрутити, крутити занадто сильно, швидко
overwrite     | overwrote               | overwritten              | переписувати, писати поверх тексту, багато писати
[P]
partake       | partook                 | partaken                 | брати участь, розділяти, покуштувати, скористатися
pay           | paid                    | paid                     | платити, винагороджувати, помститися
plead         | pleaded / pled          | pleaded / pled           | захищати підсудного, клопотати, просити
prebuild      | prebuilt                | prebuilt                 | попередньо зібрати, вибудувати
predo         | predid                  | predone                  | зробити заздалегідь, підготувати
premake       | premade                 | premade                  | підготувати, зробити наперед, заздалегідь
prepay        | prepaid                 | prepaid                  | передплачувати, платити наперед
presell       | presoldpreset           | prespresetold            | рекламувати продукт до його появи в продажу, продавати наперед
preshrink     | preshrink               | preshrunk                | обробляти тканину для запобігання її стяжки
proofread     | proofread               | proofread                | читати коректуру, корегувати
prove         | proved                  | pruːvd                   | доводити, засвідчувати
put           | put                     | put                      | класти, покласти
[Q]
quick-freeze  | quick-froze             | quick-frozen             | швидко заморожувати, замерзати
quit          | quit / quitted          | quit / quitted           | залишати, покидати, виходити
[R]
read          | read [red]              | read [red]               | читати
reawake       | reawoke                 | reawaken                 | знову будити
rebid         | rebid                   | rebid                    | робити повторну ставку
rebind        | rebound                 | rebound                  | знову переплітати (книгу), робити нову палітурку
rebuild       | rebuilt                 | rebuilt                  | перебудовувати
recast        | recast                  | recast                   | переробляти, змінювати, перераховувати
recut         | recut                   | recut                    | вдруге нарізати, повторно вирізати (сцени з фільму)
redeal        | redealt                 | redealt                  | роздати знову карти в грі
redo          | redid                   | redone                   | переробляти, робити ремонт
redraw        | redrew                  | redrawn                  | перемальовувати, оновлювати малюнок, виставляти зворотний вексель
refit         | refitted / refit        | refitted / refit         | переустатковувати, лагодити, знову підганяти (за розміром)
regrind       | reground                | reground                 | перешліфовувати, переточувати, притирати
regrow        | regrew                  | regrown                  | відростати знову
rehang        | rehung                  | rehung                   | переважувати
rehear        | reheard                 | reheard                  | почути знову, розглядати справу повторно
reknit        | reknitted / reknit      | reknitted / reknit       | в'язати заново, з'єднувати заново
relay         | relaid                  | relaid                   | класти заново, замінювати (черепицю, кахель)
relearn       | relearned / relearnt    | relearned / relearnt     | вчитися заново, переучуватися
relight       | relit / relighted       | relit / relighted        | запалити, запалитися знову, спалахнути
remake        | remade                  | remade                   | переробляти, робити заново
rend          | rent / rended           | rent / rended            | відривати, роздирати, розщеплювати
repay         | repaid                  | repaid                   | віддавати, повертати, відшкодовувати, відплачувати
reread        | reread                  | reread                   | перечитувати
rerun         | reran                   | rerun                    | перезапускати, повторно проводити, показувати
resell        | resold                  | resold                   | перепродавати
resend        | resent                  | resent                   | посилати, відправляти знову
reset         | reset                   | reset                    | знову налаштовувати, встановлювати, скидати (налаштування)
resew         | resewed                 | resewn / resewed         | пришивати заново, перешивати
retake        | retook                  | retaken                  | знову взяти, перезнімати, перездавати (іспит)
reteach       | retaught                | retaught                 | переучувати, вчити заново
retear        | retore                  | retorn                   | знову розривати, відривати
retell        | retold                  | retold                   | переказувати, розповідати знову
rethink       | rethought               | rethought                | переглядати свою думку, заново осмислити
retread       | retread                 | retread                  | змінити покришку, перенавчати, заново давати роботу
retrofit      | retrofitted / retrofit  | retrofitted / retrofit   | модифікувати, підганяти, налаштовувати
rewake        | rewoke / rewaked        | rewaken / rewaked        | будити, пробуджуватися заново
rewear        | rewore                  | reworn                   | носити заново
reweave       | rewove / reweaved       | rewoven / reweaved       | переткати, плести, ткати заново, знову з'єднуватися
rewed         | rewed / rewedded        | rewed / rewedded         | одружитися вдруге
rewet         | rewet / rewetted        | rewet / rewetted         | повторно зволожувати, мочити знову
rewin         | rewon                   | rewon                    | знову перемогти, перемогти після програшу
rewind        | rewound                 | rewound                  | перемотувати (назад)
rewrite       | rewrote                 | rewritten                | переписувати, редагувати, відповідати письмово
rid           | rid                     | rid                      | звільняти, рятувати
ride          | rode                    | ridden                   | їхати верхи, кататися, їхати (в транспорті)
ring          | rang                    | rung                     | дзвонити, дзвеніти
rise          | rose                    | risen                    | підніматися, сходити
roughcast     | roughcast               | roughcast                | накидати план, намічати, грубо штукатурити
run           | ran                     | run                      | бігти, гнати, управляти, текти
[S]
