"the";"ðiː/ðə";"означений артикль"
"be";"bi";"бути"
"and";"ænd";"і"
"of";"ɒv";"від/з"
"a";"eɪ";"неозначений артикль"
"in";"ɪn";"в"
"to";"tu";"частка перед дієсловом"
"have";"hæv";"мати"
"to";"tu";"щоб"
"it";"ɪt";"це"
"I";"aɪ";"я"
"that";"ðæt";"що/той"
"for";"fɔːr";"для"
"you";"juː";"ти/ви"
"he";"hi";"він"
"with";"wɪð";"з"
"on";"ɒn";"на/від"
"do";"du";"робити"
"say";"seɪ";"казати"
"this";"ðɪs";"цей"
"they";"ðeɪ";"вони"
"at";"æt";"в"
"but";"bʌt";"але"
"we";"wi";"ми"
"his";"hɪz";"його"
"from";"frɒm";"із/з"
"not";"nɒt";"не"
"n’t";"nt";"ні (скор.)"
"by";"baɪ";"від"
"she";"ʃi";"вона"
"or";"ɔr";"або"
"as";"æz";"як"
"what";"wɒt";"що"
"go";"ɡoʊ";"йти"
"their";"ðɛr";"їх"
"can";"kæn";"може"
"who";"huː";"хто"
"get";"ɡɛt";"отримувати"
"if";"ɪf";"якщо"
"would";"wʊd";"б"
"her";"hɜr";"її"
"all";"ɔːl";"всі/усе"
"my";"maɪ";"моє"
"make";"meɪk";"робити"
"about";"əˈbaʊt";"про"
"know";"noʊ";"знати"
"will";"wɪl";"буде"
"up";"ʌp";"вгору"
"one";"wʌn";"один/частина/єдиний"
"time";"taɪm";"час"
"there";"ðɛr";"там/це/туди"
"year";"jɪr";"рік"
"so";"soʊ";"тому/так"
"think";"θɪŋk";"думати"
"when";"wɛn";"коли"
"which";"wɪʧ";"котрий"
"them";"ðɛm";"їм"
"some";"sʌm";"деякі"
"me";"miː";"мій"
"people";"ˈpiːpᵊl";"люди"
"take";"teɪk";"брати"
"out";"aʊt";"з/поза"
"into";"ˈɪntu";"всередині"
"just";"ʤʌst";"просто"
"see";"si";"бачити"
"him";"hɪm";"його"
"your";"jɔr";"твій"
"come";"kʌm";"приходити"
"could";"kʊd";"міг"
"now";"naʊ";"зараз"
"than";"ðæn";"ніж/як"
"like";"laɪk";"як/подобатися"
"other";"ˈʌðər";"інший"
"how";"haʊ";"як"
"then";"ðɛn";"тоді"
"its";"ɪts";"цього"
"our";"aʊr";"наше"
"two";"tu";"два"
"more";"mɔr";"більше"
"these";"ðiz";"ці"
"want";"wɔnt";"хотіти"
"way";"weɪ";"спосіб"
"look";"lʊk";"виглядає/вид"
"first";"fɜrst";"перший"
"also";"ˈɔlsoʊ";"також"
"new";"nju";"новий"
"because";"bɪˈkɔz";"тому що"
"day";"deɪ";"день"
"use";"juz";"використовувати"
"no";"noʊ";"ні/немає/нікого"
"man";"mæn";"людина/чоловік"
"find";"faɪnd";"знаходити"
"here";"hir";"тут"
"thing";"θɪŋ";"річ"
"give";"ɡɪv";"давати"
"many";"ˈmɛni";"багато"
"well";"wɛl";"добре"
"only";"ˈoʊnli";"тільки"
"those";"ðoʊz";"ті"
"tell";"tɛl";"розповідати"
"very";"ˈvɛri";"дуже"
"even";"ˈivɪn";"навіть"
"back";"bæk";"назад/зад"
"any";"ˈɛni";"будь-який"
"good";"ɡʊd";"хороший"
"woman";"ˈwʊmən";"жінка"
"thought";"θɔt";"думка/намір"
"us";"ʌs";"нам/нас"
"life";"laɪf";"життя"
"child";"ʧaɪld";"дитина"
"work";"wɜrk";"працювати/робота"
"down";"daʊn";"вниз"
"after";"ˈæftər";"після"
"should";"ʃʊd";"повинен"
"call";"kɔl";"кликати/дзвінок"
"world";"wɜrld";"мир/світ"
"over";"ˈoʊvər";"понад"
"school";"skul";"школа"
"still";"stɪl";"досі/все ще"
"try";"traɪ";"намагатися/спробувати"
"last";"læst";"останній"
"ask";"æsk";"питати"
"need";"nid";"потребувати/необхідність"
"too";"tu";"теж"
"feel";"fil";"відчувати"
"state";"steɪt";"стан/держава"
"never";"ˈnɛvər";"ніколи"
"become";"bɪˈkʌm";"ставати"
"between";"bɪˈtwin";"між"
"high";"haɪ";"високий"
"really";"ˈrɪli";"дійсно/реально"
"something";"ˈsʌmθɪŋ";"що-небудь/щось"
"most";"moʊst";"більшість"
"another";"əˈnʌðər";"інший"
"much";"mʌʧ";"багато"
"family";"ˈfæmɪli";"родина"
"own";"oʊn";"особистий"
"leave";"liv";"залишати"
"put";"pʊt";"поклав"
"old";"oʊld";"старий"
"while";"waɪl";"поки що/в той час як"
"mean";"min";"значить"
